"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2023","2.6894","2.6583","2.7034","2.6277","44.69K","1.45%"
"12/18/2023","2.6509","2.6066","2.7037","2.5838","49.88K","2.07%"
"12/15/2023","2.5971","2.5726","2.6280","2.5557","51.53K","1.18%"
"12/14/2023","2.5669","2.5302","2.5885","2.5300","36.80K","1.76%"
"12/13/2023","2.5226","2.4895","2.5401","2.4595","38.22K","1.71%"
"12/12/2023","2.4803","2.5776","2.5983","2.4735","42.36K","-3.82%"
"12/11/2023","2.5789","2.5494","2.5909","2.5333","42.65K","1.10%"
"12/08/2023","2.5508","2.5350","2.5841","2.5258","32.90K","1.30%"
"12/07/2023","2.5181","2.5385","2.5801","2.5162","40.83K","-0.77%"
"12/06/2023","2.5377","2.5950","2.6186","2.5237","35.91K","-2.58%"
"12/05/2023","2.6048","2.6284","2.6678","2.5933","32.06K","-0.79%"
"12/04/2023","2.6256","2.6416","2.6713","2.6035","31.16K","-0.16%"
"12/01/2023","2.6298","2.7034","2.7250","2.6283","36.03K","-4.52%"
"11/30/2023","2.7542","2.8048","2.8722","2.7144","62.14K","-1.94%"
"11/29/2023","2.8087","2.7941","2.8273","2.7350","77.88K","-0.28%"
"11/28/2023","2.8165","2.7542","2.8344","2.7483","61.09K","2.30%"
"11/27/2023","2.7532","2.7495","2.7967","2.7233","54.77K","-0.33%"
"11/24/2023","2.7623","2.7949","2.8273","2.7440","36.23K","-3.65%"
"11/23/2023","2.8670","2.8708","2.9023","2.8445","","2.23%"
"11/22/2023","2.8044","2.8610","2.8638","2.7404","66.67K","-1.68%"
"11/21/2023","2.8522","2.7882","2.8660","2.7617","70.09K","2.31%"
"11/20/2023","2.7877","2.7029","2.8012","2.6894","45.79K","2.72%"
"11/17/2023","2.7139","2.6703","2.7430","2.6460","65.05K","1.56%"
"11/16/2023","2.6722","2.7901","2.8023","2.6599","52.90K","-4.26%"
"11/15/2023","2.7911","2.7745","2.8029","2.7450","60.31K","0.43%"
"11/14/2023","2.7792","2.7800","2.8158","2.7483","51.26K","0.10%"
"11/13/2023","2.7765","2.6957","2.7803","2.6690","44.02K","2.93%"
"11/10/2023","2.6975","2.6718","2.7401","2.6537","37.21K","0.88%"
"11/09/2023","2.6741","2.6994","2.7108","2.6531","52.17K","-0.87%"
"11/08/2023","2.6977","2.7651","2.7806","2.6927","50.46K","-2.91%"
"11/07/2023","2.7785","2.8864","2.8900","2.7611","38.89K","-3.83%"
"11/06/2023","2.8892","2.8569","2.9096","2.8490","34.07K","1.01%"
"11/03/2023","2.8603","2.9476","2.9713","2.8426","46.52K","-3.07%"
"11/02/2023","2.9510","2.8952","2.9604","2.8892","43.50K","2.08%"
"11/01/2023","2.8910","2.8763","2.9346","2.8567","43.64K","-0.65%"
"10/31/2023","2.9100","2.8946","2.9585","2.8946","51.09K","0.90%"
"10/30/2023","2.8841","2.9495","2.9544","2.8617","52.00K","-2.85%"
"10/27/2023","2.9687","2.9600","3.0112","2.9030","53.96K","0.10%"
"10/26/2023","2.9656","2.9491","2.9772","2.9000","54.63K","0.22%"
"10/25/2023","2.9591","2.9586","2.9698","2.8766","59.48K","-0.11%"
"10/24/2023","2.9625","3.0192","3.0299","2.9285","58.28K","-1.76%"
"10/23/2023","3.0156","3.0744","3.0833","3.0084","50.91K","-1.83%"
"10/20/2023","3.0717","3.0849","3.1247","3.0646","41.94K","-0.19%"
"10/19/2023","3.0774","3.0345","3.0955","2.9850","59.72K","1.05%"
"10/18/2023","3.0454","3.0534","3.0917","3.0190","68.99K","-0.26%"
"10/17/2023","3.0532","3.0473","3.0567","2.9954","47.57K","0.36%"
"10/16/2023","3.0421","3.0851","3.1140","3.0371","49.30K","-1.24%"
"10/13/2023","3.0803","2.9431","3.0873","2.9392","57.61K","4.65%"
"10/12/2023","2.9434","2.9104","2.9627","2.8985","45.69K","1.09%"
"10/11/2023","2.9118","2.9242","2.9583","2.8518","40.81K","-0.44%"
"10/10/2023","2.9246","2.8889","2.9393","2.8625","48.49K","1.61%"
"10/09/2023","2.8783","2.8709","2.9366","2.8425","36.37K","1.91%"
"10/06/2023","2.8243","2.7991","2.8772","2.7683","56.57K","0.90%"
"10/05/2023","2.7991","2.9319","2.9399","2.7948","67.99K","-4.32%"
"10/04/2023","2.9254","3.0885","3.0952","2.9123","56.40K","-5.24%"
"10/03/2023","3.0873","3.0988","3.1024","3.0227","49.26K","-0.53%"
"10/02/2023","3.1037","3.1619","3.2024","3.0807","42.89K","-5.97%"
"09/29/2023","3.3006","3.2868","3.3564","3.2694","66.31K","0.92%"
"09/28/2023","3.2704","3.2559","3.3160","3.2465","62.46K","0.25%"
"09/27/2023","3.2621","3.1940","3.2739","3.1717","65.19K","2.86%"
"09/26/2023","3.1713","3.2037","3.2093","3.1259","64.95K","-0.90%"
"09/25/2023","3.2001","3.2654","3.2806","3.1855","61.65K","-1.15%"
"09/22/2023","3.2373","3.2892","3.3462","3.2345","67.74K","-1.66%"
"09/21/2023","3.2920","3.2367","3.3893","3.2220","81.39K","1.43%"
"09/20/2023","3.2456","3.3192","3.3322","3.2161","59.15K","-1.42%"
"09/19/2023","3.2925","3.2307","3.3269","3.2148","66.02K","2.10%"
"09/18/2023","3.2247","3.3188","3.3346","3.2075","56.82K","-2.53%"
"09/15/2023","3.3083","3.3934","3.4109","3.3003","59.42K","-2.57%"
"09/14/2023","3.3956","3.3440","3.4178","3.3150","60.54K","1.54%"
"09/13/2023","3.3441","3.2509","3.3501","3.2501","66.79K","2.74%"
"09/12/2023","3.2550","3.2743","3.3031","3.2386","49.77K","-0.65%"
"09/11/2023","3.2763","3.2105","3.3028","3.1895","53.03K","1.91%"
"09/08/2023","3.2149","3.1529","3.2417","3.1411","53.62K","2.22%"
"09/07/2023","3.1451","3.1309","3.1599","3.0949","35.04K","0.52%"
"09/06/2023","3.1288","3.1520","3.1528","3.0715","38.73K","-0.51%"
"09/05/2023","3.1448","3.0482","3.1738","3.0284","56.74K","0.26%"
"09/04/2023","3.1368","3.1143","3.1444","3.0911","","0.70%"
"09/03/2023","3.1151","3.1162","3.1196","3.1138","","2.53%"
"09/01/2023","3.0383","3.0333","3.0884","3.0319","47.06K","-2.40%"
"08/31/2023","3.1131","3.0657","3.1236","3.0325","66.81K","1.54%"
"08/30/2023","3.0658","3.1619","3.1801","3.0588","77.93K","-3.36%"
"08/29/2023","3.1725","3.1536","3.1935","3.1164","54.80K","0.04%"
"08/28/2023","3.1711","3.2705","3.2775","3.1501","73.29K","-2.94%"
"08/25/2023","3.2673","3.1193","3.2966","3.1181","82.96K","4.48%"
"08/24/2023","3.1271","3.0893","3.1322","3.0738","49.18K","0.81%"
"08/23/2023","3.1021","3.1156","3.1405","3.0714","49.58K","-0.33%"
"08/22/2023","3.1125","3.1060","3.1305","3.0705","49.63K","0.69%"
"08/21/2023","3.0912","3.1366","3.1641","3.0850","51.65K","-1.17%"
"08/18/2023","3.1279","3.0677","3.1429","3.0566","63.03K","1.96%"
"08/17/2023","3.0679","2.9964","3.0877","2.9822","43.76K","2.37%"
"08/16/2023","2.9970","3.0159","3.0405","2.9911","49.69K","-0.46%"
"08/15/2023","3.0110","3.0604","3.0720","2.9938","39.25K","-1.86%"
"08/14/2023","3.0682","3.0882","3.1065","3.0379","44.26K","-0.89%"
"08/11/2023","3.0959","3.1199","3.1631","3.0859","46.11K","-0.82%"
